"id","user_id","total","status_ticket","type_payment","created_at","updated_at","deleted_at","discount"
"38bf9fedad7a47519885266b089bdf16","9d1ea2cd01a64dcd8845eee558197590","125","ACCEPTED",NULL,"2024-06-12 18:13:10","2024-06-12 10:34:41",NULL,"0"
"39500036006743ed92380d3dd4f77adc","9d1ea2cd01a64dcd8845eee558197590","110","ACCEPTED",NULL,"2024-07-25 20:53:45","2024-07-25 14:57:52",NULL,"0"
"3ba9034a4fb84c3998d22b1a6e4045b5","9d1ea2cd01a64dcd8845eee558197590","66","ACCEPTED",NULL,"2024-06-12 18:19:39","2024-06-12 10:34:41",NULL,"0"
"3babf09cd49440fa88eea3639ac7cfc8","9d1ea2cd01a64dcd8845eee558197590","48","ACCEPTED",NULL,"2024-06-12 18:24:55","2024-06-12 10:34:41",NULL,"0"
"3df3a23a6d7f43f08e9aae8cc4c2a83c","9d1ea2cd01a64dcd8845eee558197590","50","ACCEPTED",NULL,"2024-11-11 18:17:17","2024-11-07 12:19:41",NULL,"0"
"410cbb82d513433bbe400f28eb8a87c0","9d1ea2cd01a64dcd8845eee558197590","223","ACCEPTED",NULL,"2024-10-26 18:23:53","2024-10-26 17:21:57",NULL,"0"
"413302e3b15f48208cdb3d1de69e8378","9d1ea2cd01a64dcd8845eee558197590","90","ACCEPTED",NULL,"2024-09-08 19:47:50","2024-09-08 01:00:12",NULL,"0"
"4172cdc683ec40f791eb5c41d7b3e066","9d1ea2cd01a64dcd8845eee558197590","40","ACCEPTED",NULL,"2024-09-19 18:41:44","2024-09-19 01:00:12",NULL,"0"
"424edf9e79e54720b71658d3923ffaf2","9d1ea2cd01a64dcd8845eee558197590","36","ACCEPTED",NULL,"2024-07-26 18:25:49","2024-07-26 01:00:13",NULL,"0"
"4272fff6a97e4402b67ea27a6abafd0e","9d1ea2cd01a64dcd8845eee558197590","48","ACCEPTED",NULL,"2024-08-06 18:19:40","2024-08-06 01:00:12",NULL,"0"
"43dc696f8a56402bb98af0876e2ff698","9d1ea2cd01a64dcd8845eee558197590","145","ACCEPTED",NULL,"2024-11-11 18:16:50","2024-11-07 12:19:41",NULL,"0"
"447a6d6e625a493187ef748e61416008","9d1ea2cd01a64dcd8845eee558197590","75","ACCEPTED",NULL,"2024-10-21 17:30:57","2024-10-21 13:57:13",NULL,"0"
"45b9ef06b7a84a438af1afa9864ca4c5","9d1ea2cd01a64dcd8845eee558197590","163","ACCEPTED",NULL,"2024-11-16 18:24:51","2024-11-07 12:19:41",NULL,"0"
"46939462f23b4e92b4fec731c13df6ef","9d1ea2cd01a64dcd8845eee558197590","65","ACCEPTED",NULL,"2024-06-21 17:23:03","2024-06-21 15:17:22",NULL,"0"
"4b5d46ec1b554ab9a508836cde825438","9d1ea2cd01a64dcd8845eee558197590","45","ACCEPTED",NULL,"2024-09-20 18:48:12","2024-09-20 01:00:13",NULL,"0"
"4c45468e8c4d41428a2edd1c5ce055bf","9d1ea2cd01a64dcd8845eee558197590","79","ACCEPTED",NULL,"2024-11-17 16:39:25","2024-11-07 12:19:41",NULL,"0"
"4d04d61b7ec64ee0b4a676748ebc81fd","9d1ea2cd01a64dcd8845eee558197590","151","ACCEPTED",NULL,"2024-11-17 19:54:44","2024-11-07 12:19:41",NULL,"0"
"4e657c040c204bda99338acbf16aa444","9d1ea2cd01a64dcd8845eee558197590","48","ACCEPTED",NULL,"2024-11-10 16:47:30","2024-11-07 12:19:41",NULL,"0"
"4f8c34bace9e4cad8e690c9e028d1d4a","9d1ea2cd01a64dcd8845eee558197590","65","ACCEPTED",NULL,"2024-09-02 17:49:07","2024-09-02 01:00:12",NULL,"0"
